sampleID,well_id,carbon,cell_num,growth,biofilm,class
602,flowcyto_250_h16_C7,trehalose,250,0.8043,0.4703,HGLB
603,flowcyto_250_h17_B8,trehalose,250,0.7684,0.4431,HGLB
604,flowcyto_250_h19_E5,trehalose,250,0.7653,0.502,HGLB
605,flowcyto_250_h17_D9,trehalose,250,0.7322,0.4944,HGLB
606,flowcyto_250_h18_C9,trehalose,250,0.7148,0.4632,HGLB
611,flowcyto_250_h20_E8,trehalose,250,0.6931,3.5823,HGHB
612,flowcyto_250_h20_E7,trehalose,250,0.6472,3.5035,HGHB
613,flowcyto_250_h17_G7,trehalose,250,0.7486,2.4678,HGHB
614,flowcyto_250_h19_B7,trehalose,250,0.6205,2.1379,HGHB
615,flowcyto_250_h16_G3,trehalose,250,0.7898,1.5389,HGHB
616,flowcyto_250_h16_F7,trehalose,250,0.8352,1.4794,HGHB
621,flowcyto_250_h18_G5,trehalose,250,0.5037,3.9044,LGHB
622,flowcyto_250_h20_G6,trehalose,250,0.4912,3.6833,LGHB
623,flowcyto_250_h19_C6,trehalose,250,0.3698,3.6097,LGHB
624,flowcyto_250_h20_C4,trehalose,250,0.5113,3.5822,LGHB
625,flowcyto_250_h19_E2,trehalose,250,0.4792,3.4483,LGHB
626,flowcyto_250_h17_D5,trehalose,250,0.3232,3.1978,LGHB
631,flowcyto_250_h20_D4,trehalose,250,0.3822,0.4545,LGLB
632,flowcyto_250_h20_C6,trehalose,250,0.3757,0.5041,LGLB
633,flowcyto_250_h19_D8,trehalose,250,0.3616,0.4815,LGLB
634,flowcyto_250_h16_B2,trehalose,250,0.3454,0.631,LGLB
635,flowcyto_250_h18_F11,trehalose,250,0.3408,0.612,LGLB
636,flowcyto_250_h20_F7,trehalose,250,0.3092,0.5178,LGLB
